authors,category,parent_category,title,description,image_url,price,pages,publisher,date_string,dimensions,main_category
"Carl Chatfield,Timothy   Johnson",Computer Science,Computing & I.T.,Microsoft Project 2016 Step by Step,"The quick way to learn Microsoft Project 2016!  This is learning made easy. Get more done quickly with Project 2016. Jump in wherever you need answers–brisk lessons and colorful screenshots show you exactly what to do, step by step.  Quickly start a new plan, build task lists, and assign resources Share your plan and track your progress Capture and fine-tune work and cost details Use Gantt charts and other views and reports to visualize project schedules Share resources across multiple plans and consolidate projects Master project management best practices while you learn Project Look up just the tasks and lessons you need ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780735698741/microsoft-project-2016-step-by-step.jpg,45.25,576,"Microsoft Press,U.S.",2016-05-28,22.7 x 18.9 x 2.4,Computer Hardware
Woody Leonhard,Computer Hardware,Computing & I.T.,Windows 10 All-in-One For Dummies,"If you're new to Windows 10 and want an authoritative and accessible guide to the basics of the widely used operating system, Windows 10 All-in-One For Dummies is the book for you. Written by trusted Windows expert Woody Leonhard, this freshly updated guide cuts through the jargon and covers everything you need to know, including navigating the start menu, personalizing your Windows experience, maximizing Windows apps, and managing security.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119310563/windows-10-all-in-one-for-dummies.jpg,38.5,1008,John Wiley & Sons Inc,2016-10-11,21.0 x 15.0 x 2.2,Computer Hardware
Bill Hughes,Computer Hardware,Computing & I.T.,Samsung Galaxy S5 For Dummies,"Explore Samsung's next generation Galaxy smartphone  Do you want an easy-to-follow guide to everything your new Galaxy S5 smartphone can do? From the basics of texting and accessing the Internet to the most advanced features and new software apps, Samsung Galaxy S5 For Dummies makes the need for tech support obsolete. The Galaxy S5 is designed to be faster and more powerful than ever. This latest release in the market-leading line of smartphones is full of new features for you to explore with the help of Samsung Galaxy S5 For Dummies. With over 1 million apps available for the Google Android operating system, there's almost nothing you can't do with the Samsung Galaxy S5. This book will guide you through finding and installing the applications that work best for you and getting the most out of your device.  Includes information on setup and configuration, the new camera features, video, GPS navigation, and media Find out how to sync the Galaxy S5 Discover tips and tricks to unlock your smartphone's full potential  Samsung Galaxy S5 For Dummies is the lively, informative guide you'll want to keep handy. Whether you're new to the world of mobile devices, or consider yourself a more experienced user, this book and covers all the Galaxy S5 capabilities and features.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118920268/samsung-galaxy-s5-for-dummies.jpg,27.75,352,John Wiley & Sons Inc,2014-05-23,23.37 x 18.8 x 1.83,Computer Hardware
Jonathan Zufi,Industrial & Commercial Art & Design,Arts & Entertainment,Iconic,"In 2009, Jonathan Zufi conceived the idea of photographing every product ever made by Apple and began showcasing his work on his website shrineofapple.com. He has been a leader in technology innovation since the mid 1980s. In 2002, he received the Pearcey Award, one of the Australian government's highest awards for IT innovation for pioneering achievement and contributions to research and development within the IT industry. He has a Bachelor of Computing (with honours) from the department of Robotics and Digital Technology at Monash University in Melbourne, Australia. Jonathan currently works for SAP where he manages the North American Mobile Innovation Center. Originally from Melbourne, Jonathan lives in Atlanta, Georgia with his wife Louisa and their two children. Jonathan's first Apple product was an Apple IIc.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780988581715/iconic.jpg,64.35,340,Ridgewood Publishing,2014-12-01,25.4 x 31.8 x 3.5,Computer Hardware
"Eben Upton,Gareth Halfacree",Computer Hardware,Computing & I.T.,"Raspberry Pi User Guide, 4th Edition","Learn the Raspberry Pi 3 from the experts!  Raspberry Pi User Guide, 4th Edition is the ""unofficial official"" guide to everything Raspberry Pi 3. Written by the Pi's creator and a leading Pi guru, this book goes straight to the source to bring you the ultimate Raspberry Pi 3 manual. This new fourth edition has been updated to cover the Raspberry Pi 3 board and software, with detailed discussion on its wide array of configurations, languages, and applications. You'll learn how to take full advantage of the mighty Pi's full capabilities, and then expand those capabilities even more with add-on technologies. You'll write productivity and multimedia programs, and learn flexible programming languages that allow you to shape your Raspberry Pi into whatever you want it to be. If you're ready to jump right in, this book gets you started with clear, step-by-step instruction from software installation to system customization. The Raspberry Pi's tremendous popularity has spawned an entire industry of add-ons, parts, hacks, ideas, and inventions. The movement is growing, and pushing the boundaries of possibility along with it-are you ready to be a part of it? This book is your ideal companion for claiming your piece of the Pi.  Get all set up with software, and connect to other devices Understand Linux System Admin nomenclature and conventions Write your own programs using Python and Scratch Take advantage of Pi compatibility with Arduino, Gertboard, and more  The credit-card sized Raspberry Pi has become a global phenomenon. Created by the Raspberry Pi Foundation to get kids interested in programming, this tiny computer kick-started a movement of tinkerers, thinkers, experimenters, and inventors. Where will your Raspberry Pi 3 take you? The Raspberry Pi User Guide, 3rd Edition is your ultimate roadmap to discovery.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119264361/raspberry-pi-user-guide-4th-edition.jpg,27.75,312,John Wiley & Sons Inc,2016-07-25,23.5 x 19.0 x 1.5,Computer Hardware
Ciprian Rusen,Computer Hardware,Computing & I.T.,Windows 10 at Work For Dummies,"This full-color, all-encompassing guide breaks down the most common Windows tasks into easily digestible parts, providing you with illustrated, step-by-step instructions on everything you'll encounter in Windows 10. From setting up your desktop with your favorite apps to finding the files and applications you need—and everything in between—this hands-on, friendly guide takes the headache out of working with Windows.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119051855/windows-10-at-work-for-dummies.jpg,29.95,416,John Wiley & Sons Inc,2015-10-08,22.5 x 15.5 x 2.0,Computer Hardware
Carrie Anne Philbin,Computer Hardware,Computing & I.T.,Adventures in Raspberry Pi,"Coding for kids is cool with Raspberry Pi and this elementary guideEven if your kids don't have an ounce of computer geek in them, they can learn to code with Raspberry Pi and this wonderful book. Written for 11- to 15-year-olds and assuming no prior computing knowledge, this book uses the wildly successful, low-cost, credit-card-sized Raspberry Pi computer to explain fundamental computing concepts. Young people will enjoy going through the book's nine fun projects while they learn basic programming and system administration skills, starting with the very basics of how to plug in the board and turn it on.Each project includes a lively and informative video to reinforce the lessons. It's perfect for young, eager self-learners-your kids can jump in, set up their Raspberry Pi, and go through the lessons on their own.Written by Carrie Anne Philbin, a high school teacher of computing who advises the U.K. government on the revised ICT CurriculumTeaches 11- to 15-year-olds programming and system administration skills using Raspberry PiFeatures 9 fun projects accompanied by lively and helpful videosRaspberry Pi is a $35/£25 credit-card-sized computer created by the non-profit Raspberry Pi Foundation; over a million have been soldHelp your children have fun and learn computing skills at the same time with Adventures in Raspberry Pi.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119046028/adventures-in-raspberry-pi.jpg,26.25,256,John Wiley & Sons Inc,2015-02-13,23.5 x 18.7 x 1.2,Computer Hardware
Nick Vandome,Portable & Handheld Devices User Guides,Digital Lifestyle,iPad for Seniors in easy steps 6/e,"The iPad is a tablet computer that is stylish, versatile and easy to use, and there is no reason why it should be the preserve of the younger generation. The range of models has been expanded over the years so that there are now different sizes to cover all mobile computing requirements.iPad for Seniors in easy steps, 6th edition gives the reader all the essential information they need to know to make the most out of their iPad:Choose the right model for their needsNavigate around with Multi-Touch gesturesMaster Settings and apps to stay organizedFind, download and explore exciting appsUse their iPad to make traveling stress-freeEmail, share photos and video chat for freeAccess and share music, books and videosLocate family members and stay in touchAccess documents from anywhereiPad for Seniors in easy steps, 6th edition, is updated to cover the latest operating system, iOS 10, which comes with some new features and extensive upgrades to a number of the apps within it:Photos. The Photos app has been given a significant overhaul: it now comes with sophisticated face, object and scene recognition, for identifying photos by content; there is an improved search facility for finding photos; and a new Memories tab that groups together photos from a certain time and even makes movies out of them.Music. Apple Music has an improved layout so that it is easier to find and organize your music. It is also possible to view song lyrics as they are being played.Messages. The Messages app also has major enhancements, so that you can now send handwritten messages, change the style of speech bubbles, add a range of content (from sketches to a full-screen 'Happy Birthday' message), send preset quick replies and even write messages in invisible ink.News. The News app, first introduced with iOS 9, has also been revamped so that news items can be grouped in different sections and also appear on the Lock Screen.Maps. The Maps app now comes with a new design, clearer navigation and improved traffic information. It can also be used to book tables in restaurants and book taxis.Siri. The Digital Personal Assistant, Siri, has been enhanced through the support of a range of third-party apps, so it can be used for a wider range of tasks in addition to just answering questions.Home. The Home app is new in iOS 10 and can be used to control a range of compatible functions in the home, such as turning on lights and air conditioners, controlling thermostats or opening and closing window shades.With iOS 10 there are also enhancements to the Notifications area so that more items can be displayed and a 'Raise to wake' feature that wakes your iPad simply by lifting it.A handy guide for any Senior new to the iPad, covering iOS 10, presented in larger type for easier reading. For all iPads with iOS 10, including iPad Mini and iPad Pro.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781840787429/ipad-for-seniors-in-easy-steps-6-e.jpg,16.75,192,In Easy Steps Limited,2016-12-08,22.7 x 18.5 x 1.1,Computer Hardware
Dwight Spivey,Computer Hardware,Computing & I.T.,"Iphone for Seniors for Dummies, 6th Edition","Your no-nonsense guide to getting in touch with your iPhone Once you're comfortable with your iPhone, you'll wonder how you ever lived without it—and this full-color guide will get you there faster than you can say 'Siri.' Packed with guidance on everything from buying your first iPhone and navigating the Home screen to making calls, surfing the web, and sending texts and emails, iPhone For Seniors For Dummies shows you just how fun and easy it is to keep up with the kids! Featuring a large-print format, easy-to-follow figures and drawings, and lots of step-by-step guidance, it gives you all the friendly instruction you need to put the iPhone to work for you—to shop, socialize, consume media, and absolutely everything in between. Whether you're finally retiring that familiar old flip phone or switching over to Apple from an Android device, everything you need to take the leap is a page away.  Keep in touch with email, social media, and FaceTime video calls Stay on schedule with the Calendar and Reminder apps Share photos, read ebooks, play games, and listen to music Explore the multitouch interface and get familiar with built-in apps  The iPhone is only intimidating on the surface, and this plain-English guide shows you how its simplicity and ease of use are actually a better fit for your needs than you ever realized!",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119280187/iphone-for-seniors-for-dummies-6th-edition.jpg,27.75,480,John Wiley & Sons Inc,2016-11-11,23.0 x 19.0 x 2.0,Computer Hardware
"Carl Chatfield,Timothy Johnson",Project Management Software,Business Applications,Microsoft Project 2010 Step by Step,"Experience learning made easy-and quickly teach yourself how to manage your projects with Project 2010. With Step By Step, you set the pace-building and practicing the skills you need, just when you need them  Topics include building a project plan and fine-tuning the details; scheduling tasks, assigning resources, and managing dependencies; monitoring progress and costs; keeping projects on track; communicating project data through Gantt charts and other views.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780735626959/microsoft-project-2010-step-by-step.jpg,47.5,560,"Microsoft Press,U.S.",2010-06-28,22.9 x 18.7 x 2.6,Computer Hardware
Simon Monk,Personal Computers,Computer Hardware,Programming the Raspberry Pi,"The new edition of this bestselling TAB guide from electronics guru Simon Monk is fully updated for the latest version, Raspberry Pi B+, and the smaller Raspberry Pi A+. Programming the Raspberry Pi: Getting Started with Python, Second Edition, is revised to cover the Raspberry Pi B+, the smaller Raspberry Pi A+, and updates to the Raspbian operating system and associated hardware. You'll learn the basics of Python programming with hands-on examples, downloadable example code, and engaging projects that show you how to make the Raspberry Pi interact with the real world. Find out how to set up hardware and software, write and debug applications, create user-friendly interfaces, and control external electronics Fast-paced introduction gets you up and running quickly No prior knowledge of programming or electronics is required How-to instructions for software and hardware projects, including game programming, a thermostat, and a robot",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781259587405/programming-the-raspberry-pi.jpg,17.95,208,McGraw-Hill Education - Europe,2015-09-18,22.8 x 15.3 x 1.1,Computer Hardware
"Donald W. Jones,Jeffrey D. Hicks",Microsoft Programming,Computer Programming & Software Development,"Learn Windows PowerShell in a Month of Lunches, Third Edition","DESCRIPTIONPowerShell provides a single, unified administrative command linefrom which to control and automate virtually every aspect of aWindows system. It accepts and executes commands immediately, andscripts can be written to manage most Windows servers like Exchange,IIS, and SharePoint. This updated book covers PowerShell featuresthat run on Windows 7, Windows Server 2008 R2, and later. Thisedition is appropriate for PowerShell version 3 and later. There iscoverage for new PowerShell version 5 features like PowerShellGet,however PowerShell fundamentals are unchanged. Learn Windows PowerShell in a Month of Lunches, Third Edition is aninnovative tutorial designed for busy IT professionals. With just onehour a day for a month, readers will be automating Windows tasksfaster than they ever thought possible. They start with the basics (Whatis PowerShell and what can be done with it). Then, it movessystematically through the techniques and features that facilitateefficient and effective results. KEY FEATURES* A great start with a great tutorial* Concise and easy-to-follow* Based on years of successful training techniques* Hands-on exercises and labs AUDIENCEExperience with Windows administration is helpful. No programmingor scripting experience is assumed. ABOUT THE TECHNOLOGYPowerShell is an automation engine for Windows systems. It is being builtinto all major Microsoft products and many third party products. PowerShellallows for the automations of day to day administration tasks and is a mustlearn technology for administrators.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781617294167/learn-windows-powershell-in-a-month-of-lunches-third-edition.jpg,56.25,384,Manning Publications,2017-01-31,23.5 x 18.8 x 2.0,Computer Hardware
"Bobbi Sandberg,Leslie Capachietti",Computer Hardware,Computing & I.T.,Quickbooks 2016,"Bobbi Sandberg (Whidbey Island, WA) is a consulting instructor and CPA who has been a trainer and teacher of all things computer in the Pacific Northwest for more than 40 years. Specializing in making 'numbers your friend', Bobbi has helped everyone from high-school students trying to figure out a way to pay for both college AND the prom to senior citizens trying to use 20th century dollars in the 21st century. She teaches in community, corporate, and educational venues where she is known for the handouts she provides. Some students say she provides a textbook in specialized handouts for each class she teaches. She has been a user, advocate, and trainer of Quicken since its firstversion.  Leslie Capachietti, MBA, (Winchester, MA) is an Advanced Certified QuickBooksProAdvisor, Intuit Premier Reseller and a member of Intuit's Accountant Training Network. Her firm, Automated Financial Solutions has been helping small business owners get the most from QuickBooks for over 15 years. As a nationally recognized speaker and trainer she has taught thousands of accounting professionals on best practices to employ when supporting their QuickBooks clients. Her firm, Automated Financial Solutions, has been recognized by Intuit as a Top Performer for outstanding achievement in supporting QuickBooks users.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781259585449/quickbooks-2016.jpg,33.25,464,McGraw-Hill Education - Europe,2015-12-08,23.0 x 18.0 x 2.0,Computer Hardware
"Andrew Robinson,Mike Cook",Computer Hardware,Computing & I.T.,Raspberry Pi Projects,"Learn to build software and hardware projects featuring the Raspberry Pi!Raspberry Pi represents a new generation of computers that encourages the user to play and to learn and this unique book is aimed at the beginner Raspberry Pi user who is eager to get started creating real-world projects. Taking you on a journey of creating 16 practical projects, this fun and informative resource introduces you to the skills you need to have in order to make the most of the Pi. The book begins with a quick look at how to get the Pi up and running and then encourages you to dive into the array of exciting software and hardware projects.Features projects that use Python, which is Raspberry Pi's programming language of choice Includes projects for creating an information center for e-mail, twitter, Facebook, weather, train times, and moreShows you how to recreate Pong, Pacman, and Block Breaker or write tic tac toeTeaches you how to use Raspberry Pi's general purpose input/output port in order to speak to external hardware devicesWalks you through creating an online burglar alarm with door sensors and pressure pads, computer-controlled slot car racing, swipe card door lock, and moreRaspberry Pi Projects is an excellent way to dig deeper into the capabilities of the Pi and to have great fun while doing it.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118555439/raspberry-pi-projects.jpg,38.25,478,John Wiley & Sons Inc,2013-12-13,23.5 x 19.0 x 2.5,Computer Hardware
"David Whale,Martin O'Hanlon",Computer Hardware,Computing & I.T.,Adventures in Minecraft,"By day, David Whale and Martin O'Hanlon are software engineers who design computer products. By night, they play Minecraft and develop exciting new programs that interact with the Minecraft world. They both work regularly with young people in schools, computing clubs and at community events, giving talks about Minecraft programming and running programming workshops.",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781118946916/adventures-in-minecraft.jpg,23.5,320,John Wiley & Sons Inc,2014-12-19,23.5 x 18.7 x 1.5,Computer Hardware
Andy Rathbone,Computer Hardware,Computing & I.T.,Windows 7 For Dummies Book + DVD Bundle,A terrific value-a full-size book plus video demonstrations of key Windows 7 tasks.,https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780470523988/windows-7-for-dummies-book-dvd-bundle.jpg,30.75,408,John Wiley and Sons Ltd,2009-09-22,23.37 x 18.8 x 4.26,Computer Hardware
"Wm. Arthur Conklin,Greg White,Dwayne Williams,Roger L. Davis,Chuck Cothren",Computer Security,Computing & I.T.,"Principles of Computer Security, Fourth Edition","Wm. Arthur Conklin, Ph.D., CompTIA Security+, CISSP, is an associate professor in the Information and Logistics Technology Department at the University of Houston. Greg White, Ph.D., is a professor in the Department of Computer Science at the University of Texas at San Antonio. He is the director for the Center for Infrastructure Assurance and Security at UTSA. Corey Schou, Ph.D., series editor, is a fellow and vice chairperson of (ISC)2, the University Professor of Informatics and professor of Computer Science at Idaho State University, and the director of the Informatics Research Institute and the National Information Assurance Training and Education Center (NIATEC).",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780071835978/principles-of-computer-security-fourth-edition.jpg,110.35,768,McGraw-Hill Education - Europe,2015-12-02,27.4 x 21.3 x 3.6,Computer Hardware
George G. Morgan,Genealogy,Specific Events & Topics in History,Genealogy,"Written by a renowned genealogy expert, this fully updated bestseller shows you how to use both traditional and online genealogy research methods. Thoroughly revised for the latest tools and techniques, How to Do Everything: Genealogy, Fourth Edition uniquely addresses all the different genealogical record types, explaining traditional and digital research strategies. It defines the basic rules of genealogical evidence, explains how to evaluate source materials, and describes proven research methods. This practical guide shows you how to research your family history using the most current websites, social networking sites, record archives, newly released and forthcoming census data, digital records, new frontiers in DNA research, and more. The latest technological tools such as hardware and software are also covered. Featuring global resources from the U.S., Canada, the U.K., and Australia in a single volume, this book reveals how to: -Organize and create your family tree - Research census documents, military service records, and land and property rolls - Locate difficult-to-find records Use the most efficient internet search techniques - Plan a successful genealogy research trip - Evaluate sources for authenticity- Research and verify ancestors using genetic genealogy (DNA) - Get past brick walls and dead ends in your research - Use social networking sites and collaboration techniques",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780071845922/genealogy.jpg,26.35,512,McGraw-Hill Education - Europe,2015-02-02,22.9 x 18.5 x 2.8,Computer Hardware
Bill Hughes,Computer Hardware,Computing & I.T.,Samsung Galaxy S7 For Dummies,"This book documents all the features and capabilities of Samsung Galaxy S7 device, approaching them from the point of view of a user who is intimidated by the technology and baffled by the documentation and online support that comes with the phones. All aspects of the suite of devices are covered, from setup and configuration, to extensive use of the phone features and capabilities:  texting, e-mailing, accessing the Internet, maps, navigation, camera and video, social networking, taking pictures, watching movies, downloading apps, synching with a PC, and expanding the phone’s potential with new software releases. The accessible and fun writing style provides clear direction and doesn’t hinder the book’s important content and coverage. Readers will keep this book close by, referring to it often as they explore the features of their new Samsung Galaxy S7 smartphone. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9781119279952/samsung-galaxy-s7-for-dummies.jpg,27.75,352,John Wiley & Sons Inc,2016-06-15,23.5 x 19.0 x 1.5,Computer Hardware
"Sarah Harris,David Harris",Technology in General,Engineering & Technology,Digital Design and Computer Architecture,"Digital Design and Computer Architecture takes a unique and modern approach to digital design. Beginning with digital logic gates and progressing to the design of combinational and sequential circuits, Harris and Harris use these fundamental building blocks as the basis for what follows: the design of an actual MIPS processor. SystemVerilog and VHDL are integrated throughout the text in examples illustrating the methods and techniques for CAD-based circuit design. By the end of this book, readers will be able to build their own microprocessor and will have a top-to-bottom understanding of how it works. Harris and Harris have combined an engaging and humorous writing style with an updated and hands-on approach to digital design. ",https://www.booktopia.com.au/http_coversbooktopiacomau/big/9780123944245/digital-design-and-computer-architecture.jpg,86.25,712,-,2012-08-24,23.4 x 19.3 x 3.2,Computer Hardware
